시장명,최종주소,X,Y,store_num,Bus_st_num,Ur_rail_nu,Bus_te_num,spot_num_3,univ_num_1,ur_park_num,Cul_hall_n,Mart_num_1,parking_num,parking_car_num,stor_cnt,residnt_cnt_sum,mkt_cnt_sum,stor_cnt_sum,person_mkt_cnt,매출액
말바우시장,광주광역시 북구 서방로 우산동 190-2,126.9221464,35.1714037,173,64,0,0,0,2,0,1,1,1,14,511,431256,13,1281,337,28.99666023
두암시장,광주광역시 북구 서방로135번길 58,126.9288224,35.172121,37,57,0,0,0,2,0,0,1,3,48,35,431256,13,1281,337,28.98816023
조원시장,경기도 수원시 장안구 조원로89번길 8(조원동),127.015345,37.3007815,125,79,0,0,0,0,1,1,1,0,0,139,274148,4,636,431,28.96925735
목사랑시장 (목4동시장),서울특별시양천구목동중앙남로7길8(목동),126.8662067,37.5375941,86,89,0,0,0,0,0,1,1,2,56,91,455058,21,1359,335,28.93154912
미금현대벤처빌시장,경기도 성남시 분당구 돌마로90번길 8,127.1117455,37.3492656,131,89,1,0,0,0,1,1,1,1,82,150,482614,15,1322,365,28.9283608
제주시동문재래시장,제주특별자치도 제주시 관덕로14길 20,126.5260356,33.5115615,300,75,0,0,0,0,0,1,1,5,84,0,492072,20,300,1640,28.92156909
북수원시장,경기도 수원시 장안구 파장로82번길 9(파장동),126.9921945,37.3070563,150,85,0,0,0,0,0,1,1,0,0,153,274148,4,636,431,28.91150431
둔촌역전통시장,서울특별시 강동구 양재대로91길20,127.134984,37.5280651,87,92,3,0,0,1,0,0,1,0,0,111,458604,13,1246,368,28.91116023
야탑에이스코아시장,경기도 성남시 분당구 야탑동 502,127.1257764,37.4094717,21,112,1,0,0,0,0,1,1,2,237,13,482614,15,1322,365,28.90376845
펭귄시장,서울특별시 관악구 조원로16길 27,126.9114318,37.4831554,77,104,2,0,0,0,0,2,1,0,0,61,496059,29,1559,318,28.87148166
안산시시민시장,경기도 안산시 단원구 화랑로 149,126.8053088,37.3250685,246,73,2,0,0,0,1,1,1,0,0,410,303868,1,410,741,28.84387952
방학동도깨비시장,서울특별시 도봉구 방학동 633-15,127.0361912,37.6659516,91,94,1,0,0,0,0,1,1,6,197,103,326082,11,767,425,28.84261591
중앙시장,경기도 안양시 만안구 냉천로 196,126.9196159,37.3976307,166,147,1,0,0,1,0,1,1,0,0,81,186853,4,417,448,28.79712318
계양산전통시장,인천광역시 계양구 병방동 383,126.7392634,37.5483807,127,77,2,0,0,0,1,1,1,4,149,128,297148,4,519,573,28.74915625
기장시장,부산광역시 기장군 기장읍 대라리 68-5,129.2154415,35.2440311,151,0,1,0,0,0,0,0,1,3,41,149,173918,2,181,961,28.73634541
송림공구상가,인천광역시 동구 봉수대로 98,126.6611057,37.4841517,313,61,0,0,0,0,0,1,1,0,0,320,62747,9,10525,6,28.69441966
인천산업유통사업협동조합,인천광역시 동구 방축로 83번길 23,126.6539195,37.4863947,4735,87,0,0,0,0,0,1,1,0,0,4735,62747,9,10525,6,28.69441966
안양관양시장,경기도 안양시 동안구 관평로 336번길 31,126.9593111,37.4052222,150,95,0,0,0,0,0,1,1,0,0,145,311349,2,399,780,28.66682486
제주동문수산시장,제주특별자치도 제주시 오현길 81,126.5250484,33.5120186,94,77,0,0,0,0,0,1,1,2,33,0,492072,20,94,5235,28.64333505
제주시서문공설시장,제주특별자치도 제주시 서문로4길 13-2,126.5179133,33.5113564,100,77,0,0,0,0,0,1,1,2,16,0,492072,20,100,4921,28.64333505
제주칠성로상점가(칠성로상점가),제주특별자치도 제주시 관덕로 13길 12,126.5261658,33.5140334,203,76,0,0,0,0,0,1,1,1,10,0,492072,20,300,1640,28.60083505
증산종합시장,서울특별시 은평구 증산로3길 12(증산동),126.9050656,37.5814717,76,85,4,0,0,0,0,1,1,0,0,76,480617,16,1150,418,28.60083505
방이시장,서울특별시 송파구 가락로 243,127.1178756,37.5099626,138,70,4,0,0,0,0,0,1,1,61,138,668498,12,1488,449,28.55783505
석촌시장,"서울특별시 송파구 송파대로 37길 52, 지층",127.1065341,37.500182,60,52,4,0,0,0,0,0,1,1,63,80,668498,12,1488,449,28.55783505
권선종합시장,경기도 수원시 권선구 세권로 185(권선동),127.0248558,37.2560404,109,92,1,1,0,0,0,2,1,0,0,101,369150,2,151,2445,28.5419128
부강전통시장,세종특별자치시부강면부강5길18,127.2923761,36.5928909,70,80,0,0,0,0,0,1,1,1,10,64,353430,4,477,741,28.52171997
새마을시장,서울특별시송파구백제고분로15길42(잠실동) 지하1층,127.0849144,37.5090991,110,50,3,0,0,0,0,0,1,0,0,116,668498,12,1488,449,28.51533505
역곡남부시장,경기도 부천시 부광로16번길 33,126.8115888,37.4826888,75,248,1,0,0,0,0,0,1,0,0,75,819990,19,1910,429,28.51533505
역곡상상시장(역곡북부시장),경기도 부천시 부일로749번길 31,126.8118958,37.4875755,114,190,1,0,0,2,0,0,1,0,0,120,819990,19,1910,429,28.51533505
