역번호,역사명,노선번호,노선명,역위도(y좌표),역경도(x좌표),역사도로명주소
3122,부평삼거리,S2801,인천지하철 1호선,37.478267,126.710494,인천광역시 부평구 경인로 765
2820,장지,S1108,서울 도시철도 8호선,37.47839756,127.1260529,서울특별시 송파구 송파대로 지하82(장지동)
2750,광명사거리,S1107,서울 도시철도 7호선,37.47941898,126.8547278,경기도 광명시 오리로 지하980(광명동)
228,서울대입구,S1102,서울 도시철도 2호선,37.48103059,126.9526269,서울특별시 관악구 남부순환로 지하 1822 (봉천동)
2748,가산디지털단지,S1107,서울 도시철도 7호선,37.48121776,126.8825816,서울특별시 금천구 벚꽃로 309 (가산동)
225,방배,S1102,서울 도시철도 2호선,37.48130245,126.997636,서울특별시 서초구 방배로 지하 80 (방배동)
142,가산디지털단지역,k0201,경부선,37.481568,126.882628,서울시 금천구 벚꽃로 309
137,용문역,k0212,경의중앙선,37.482085,127.594251,경기도 양평군 용문면 용문역길 18
229,봉천,S1102,서울 도시철도 2호선,37.48245978,126.9418478,서울특별시 관악구 남부순환로 지하 1721 (봉천동)
147,소사역,k0301,경인선,37.482755,126.795654,경기도 부천시 소사구 경인로 363
153,백운역,k0301,경인선,37.483301,126.707179,인천시 부평구 마장로 55번길 14
332,양재,S1103,서울 도시철도 3호선,37.48381174,127.0345768,서울특별시 서초구 남부순환로 지하 2585 (서초동)
338,일원,S1103,서울 도시철도 3호선,37.48382242,127.0843143,서울특별시 강남구 일원로 지하 121 (일원동)
148,부천역,k0301,경인선,37.484066,126.782779,경기도 부천시 소사구 부천로 1
3216,가재울,S2802,인천지하철 2호선,37.484152,126.683883,인천광역시 서구 열우물로 252 (가좌동)
230,신림,S1102,서울 도시철도 2호선,37.48420085,126.9295937,서울특별시 관악구 남부순환로 지하 1614 (신림동)
2739,남성,S1107,서울 도시철도 7호선,37.48453469,126.9712351,서울특별시 동작구 사당로 지하218 (사당동)
331,남부터미널,S1103,서울 도시철도 3호선,37.48482472,127.0161898,서울특별시 서초구 서초중앙로 지하 31 (서초동)
146,역곡역,k0301,경인선,37.48514,126.811622,경기도 부천시 원미구 역곡로 1(역곡동)
232,구로디지털단지,S1102,서울 도시철도 2호선,37.48516215,126.9014847,서울특별시 구로구 도림천로 477 (구로동)
3121,동수,S2801,인천지하철 1호선,37.485409,126.718464,인천광역시 부평구 경인로 877
2819,문정,S1108,서울 도시철도 8호선,37.4859849,127.1222272,서울특별시 송파구 송파대로 지하179 (문정동)
2747,남구로,S1107,서울 도시철도 7호선,37.48613283,126.8873355,서울특별시 구로구 도림로 지하7(구로동)
2738,이수,S1107,서울 도시철도 7호선,37.48658247,126.981745,서울특별시 동작구 사당로 지하310 (사당동)
2751,천왕,S1107,서울 도시철도 7호선,37.48661459,126.8386245,서울특별시 구로구 오리로 지하1154(오류동)
149,중동역,k0301,경인선,37.486664,126.764474,경기도 부천시 소사구 중동로 73
432,총신대입구,S1104,서울 도시철도 4호선,37.48678247,126.981945,서울특별시 동작구 동작대로 지하 117 (사당동)
333,매봉,S1103,서울 도시철도 3호선,37.48684644,127.0467037,서울특별시 강남구 남부순환로 지하 2744 (도곡동)
218,구룡역,k0304,분당선,37.486985,127.059496,서울시 강남구 개포동 175번지
339,수서,S1103,서울 도시철도 3호선,37.48716257,127.101553,서울특별시 강남구 광평로 지하 270 (수서동)
231,신대방,S1102,서울 도시철도 2호선,37.48741288,126.9135942,서울특별시 동작구 대림로 2 (신대방동)
2737,내방,S1107,서울 도시철도 7호선,37.4875118,126.9932223,서울특별시 서초구 서초대로 지하103 (방배동)
150,송내역,k0301,경인선,37.487626,126.753045,경기도 부천시 소사구 송내대로 43
221,수서역,k0304,분당선,37.487633,127.101118,서울시 강남구 광평로 지하 270(수서동)
151,부개역,k0301,경인선,37.488479,126.740549,인천시 부평구 수변로 22
219,개포동역,k0304,분당선,37.489112,127.066027,서울시 강남구 개포동 지하 420(개포동)
152,부평역,k0301,경인선,37.489457,126.724584,인천시 부평구 광장로 16
3120,부평,S2801,인천지하철 1호선,37.490541,126.723437,인천광역시 부평구 광장로 15
334,도곡,S1103,서울 도시철도 3호선,37.49082524,127.0553484,서울특별시 강남구 남부순환로 지하 2814 (도곡동)
217,도곡역,k0304,분당선,37.490914,127.055393,서울시 강남구 남부순환로 지하 2814
220,대모산입구역,k0304,분당선,37.491347,127.072702,서울시 강남구 일원동 611번지
224,서초,S1102,서울 도시철도 2호선,37.49178284,127.0075972,서울특별시 서초구 서초대로 지하 233 (서초동)
2752,온수,S1107,서울 도시철도 7호선,37.49215924,126.8237047,서울특별시 구로구 경인로3길 지하64 (온수동)
145,온수역,k0301,경인선,37.492267,126.823399,서울시 구로구 부일로 872
135,양평역,k0212,경의중앙선,37.492674,127.491858,경기도 양평군 양평읍 양근리 137
340,가락시장,S1103,서울 도시철도 3호선,37.49276539,127.1178996,서울특별시 송파구 송파대로 지하 257 (가락동)
2818,가락시장,S1108,서울 도시철도 8호선,37.49292332,127.1180741,서울특별시 송파구 송파대로 지하 257 (가락동)
