터미널,표준구주소,X(경도),Y(위도)
아산시외버스터미널,충청남도 아산시 모종동 555-9,127.015676,36.7850389
서천시외버스터미널,충청남도 서천군 서천읍 군사리 184-21,126.6959924,36.0754132
서산시외버스터미널,충청남도 서산시 동문동 309-3,126.4586097,36.7815846
부여시외버스터미널,충청남도 부여군 부여읍 구아리 324-1,126.9101643,36.2802851
당진시외버스터미널,충청남도 당진시 읍내동 224-4,126.6305268,36.894525
논산시외버스터미널,충청남도 논산시 취암동 1045-1,127.0882653,36.2030973
금산시외버스터미널,충청남도 금산군 금산읍 상리 34-10,127.4907485,36.1054716
공주시외버스터미널,충청남도 공주시 신관동 464-6,127.1330392,36.467076
대천시외버스터미널,충청남도 보령시 대천동 343-6,126.5923728,36.3503228
천안종합터미널,충청남도 천안시 동남구 신부동 354-1,127.1562342,36.8199576
태안시외버스터미널,충청남도 태안군 태안읍 남문리 701,126.302908,36.7481431
진안시외버스터미널,전라북도 진안군 진안읍 군상리 403-19,127.4310368,35.791999
정읍시외버스터미널,전라북도 정읍시 연지동 312-12,126.8451566,35.5726226
전주시외버스터미널,전라북도 전주시 덕진구 금암동 767-2,127.1290564,35.8348507
장수시외버스터미널,전라북도 장수군 장수읍 장수리 472-1,127.5181813,35.6483088
익산시외버스터미널,전라북도 익산시 평화동 247-3,126.943929,35.9314351
순창시외버스터미널,전라북도 순창군 순창읍 순화리 114-9,127.1411811,35.3768593
부안시외버스터미널,전라북도 부안군 부안읍 봉덕리 574-13,126.7369102,35.7270284
무주시외버스터미널(공용),전라북도 무주군 무주읍 당산리 1229,127.6643843,36.0047236
남원시외버스터미널(공용),전라북도 남원시 동충동 37-1,127.3878899,35.4096481
김제공용버스터미널,전라북도 김제시 요촌동 47-24,126.8937018,35.8035327
군산시외버스터미널,전라북도 군산시 경암동 614-2,126.7248938,35.977408
고창시외버스터미널,전라북도 고창군 고창읍 읍내리 629,126.6962138,35.4356457
광주시외버스터미널(종합),광주광역시 서구 광천동 49-1,126.8801338,35.1603052
해남시외버스터미널,전라남도 해남군 해남읍 해리 401,126.6079983,34.5704354
진도시외버스터미널(공용),전라남도 진도군 진도읍 남동리 782-1,126.2628865,34.4790909
장흥시외버스터미널(공용),전라남도 장흥군 장흥읍 건산리 382,126.9098314,34.6772535
장성시외버스터미널,전라남도 장성군 장성읍 영천리 931,126.7809758,35.2969767
완도시외버스터미널(공용),전라남도 완도군 완도읍 군내리 1230,126.7448289,34.318706
여수시외버스터미널,전라남도 여수시 오림동 390,127.7170878,34.7584096
순천시외버스터미널(공용),전라남도 순천시 장천동 18-22,127.4914656,34.9474184
보성시외버스정류장,전라남도 보성군 보성읍 원봉리 5-1,127.0756249,34.763911
목포시외버스터미널(공용),전라남도 목포시 상동 200,126.418276,34.813626
담양시외버스터미널(공용),전라남도 담양군 담양읍 지침리 132-17,126.983891,35.3153288
나주시외버스터미널,전라남도 나주시 중앙동 95-2,126.7214815,35.0335612
구례버스종합터미널,전라남도 구례군 구례읍 봉남리 1,127.4683841,35.2065282
광양시외버스터미널,전라남도 광양시 광양읍 인동리 413,127.5903041,34.9697335
곡성시외버스터미널,전라남도 곡성군 곡성읍 읍내리 244-4,127.2938459,35.2788392
강진시외버스터미널(공용),전라남도 강진군 강진읍 평동리 167-1,126.7678744,34.6385365
대구북부시외버스정류장,대구광역시 서구 비산동 1856-3,128.5552913,35.8842142
대구남부시외버스정류장,대구광역시 수성구 만촌동 1041-1,128.6475014,35.8591106
대구서부시외버스정류장,대구광역시 남구 대명11동 1135,128.5579139,35.8364862
대구동부시외버스정류장,대구광역시 동구 신천4동 481,128.6330645,35.8717699
왜관시외버스터미널(북부),경상북도 칠곡군 왜관읍 왜관리 197-2,128.3989745,35.9975986
청송시외버스터미널,경상북도 청송군 청송읍 월막리 484-40,129.0509297,36.4373903
의성시외버스터미널,경상북도 의성군 의성읍 후죽리 837-1,128.6937706,36.3554194
예천시외버스터미널,경상북도 예천군 예천읍 대심리 64,128.4444056,36.6489655
영천시외버스터미널,경상북도 영천시 남부동,128.9274812,35.9608574
영주시외버스터미널,경상북도 영주시 영주동 497,128.6177098,36.8272314
영덕시외버스터미널,경상북도 영덕군 영덕읍 덕곡리 248-3,129.3724538,36.4147697
안동시외버스터미널,경상북도 안동시 운흥동 247-32,128.7300716,36.5626102
성주시외버스터미널,경상북도 성주군 성주읍 경산리 597-2,128.2853844,35.9169304
상주시외버스터미널,경상북도 상주시 무양동 291,128.1518463,36.4190186
봉화시외버스터미널,경상북도 봉화군 봉화읍 해저리 421-13,128.7191999,36.9057197
문경시외버스터미널,경상북도 문경시 문경읍 하리 207-1,128.1079464,36.733756
김천시외버스터미널,경상북도 김천시 성내동 38-1,128.1186358,36.1232051
군위공용버스정류장,경상북도 군위군 군위읍 동부리 670-8,128.568549,36.2299322
구미시외버스터미널,경상북도 구미시 원평동 1073-1,128.3521153,36.1227013
고령시외버스터미널,경상북도 고령군 대가야읍 중앙로 29 ,128.270941,35.73023001
경산시외버스터미널,경상북도 경산시 중방동 863-11,128.7373897,35.8250548
진보시외버스터미널,경상북도 청송군 부남면 구천리 100,129.1184407,36.3043088
영덕강구버스터미널,경상북도 영덕군 강구면 오포리 555,129.3794501,36.360195
포항시외버스터미널,경상북도 포항시 남구 상도동 579-13,129.3492985,36.0140159
경주시외버스터미널,경상북도 경주시 노서동 160-2,129.202372,35.83986
부산종합버스터미널,부산광역시 금정구 노포동 133,129.0964923,35.2839171
부산동부시외버스터미널,부산광역시 금정구 노포동 133,129.0964923,35.2839171
부산서부시외버스터미널,부산광역시 사상구 괘법동 533-1,128.9825252,35.1632186
울산시외버스터미널,울산광역시 남구 삼산동 1481-1,129.338476,35.5365282
언양시외버스터미널,울산광역시 울주군 언양읍 남부리 130,129.1267473,35.5640466
방어진시외버스터미널,울산광역시 동구 방어동 130,129.4269511,35.4877631
합천시외버스터미널,경상남도 합천군 합천읍 합천리 404-11,128.1628545,35.567399
함양시외버스터미널,경상남도 함양군 함양읍 용평리 681,127.7324533,35.5209084
함안시외버스터미널,경상남도 함안군 가야읍 말산리 58-27,128.409835,35.277745
하동시외버스터미널,경상남도 하동군 하동읍 읍내리 333-14,127.7508601,35.0707356
창녕시외버스터미널,경상남도 창녕군 창녕읍 교리 1073-1,128.4907462,35.5422364
진해시외버스터미널,경상남도 창원시 진해구 인의동 24-3,128.6615137,35.144637
의령시외버스터미널,경상남도 의령군 의령읍 서동리 31-1,128.257018,35.3266352
산청시외버스정류장,경상남도 산청군 산청읍 산청리 225,127.8786885,35.4163212
밀양시외버스터미널,경상남도 밀양시 내이동 1187-2,128.7435735,35.4983353
남해시외버스터미널,경상남도 남해군 남해읍 북변리 317,127.8974592,34.8414701
거창시외버스터미널,경상남도 거창군 거창읍 대평리 1005,127.9225517,35.6864197
거제시외버스터미널(고현),경상남도 거제시 고현천로 10,128.6243816,34.89080013
통영시외버스터미널,경상남도 통영시 무전동 986,128.4302764,34.8590073
양산시외버스터미널(공용),경상남도 양산시 중부동 402,129.0350498,35.3431555
김해여객터미널,경상남도 김해시 외동 1264,128.8722469,35.229342
창원시외버스터미널,경상남도 창원시 의창구 사화동 111,128.6428988,35.236348
사천시외버스터미널,경상남도 사천시 사천읍 수석리 270-1,128.0864696,35.0822648
고성시외버스터미널(공용),경상남도 고성군 고성읍 송학리 416-2,128.3271413,34.9820906
장승포시외버스터미널(거제시외)?,경상남도 거제시 능포동 688-1,128.7310942,34.8753117
통영시외버스터미널(공용),경상남도 통영시 무전동 986,128.4302764,34.8590073
마산시외버스터미널,경상남도 창원시 마산회원구 합성동 267,128.5833351,35.2387951
진주시외버스터미널,경상남도 진주시 장대동 96-1,128.0894948,35.191247
