공원명,소재지지번주소,위도,경도,공원면적
오좌 어린이공원,경기도 평택시 독곡동 472,37.08452102,127.0636317,1782.8
옹기 어린이공원,경기도 평택시 서정동 868,37.06541074,127.0575599,1654.7
원이충 어린이공원,경기도 평택시 서정동 809,37.06473049,127.0645429,1592.2
원장당 어린이공원(장당 1호),경기도 평택시 장당동 631-1,37.04893387,127.0577356,2147.6
유통단지 어린이공원(동부 83호),경기도 평택시 도일동 1167-1,37.040157,127.1000966,6523.1
이충 어린이공원,경기도 평택시 이충동 590,37.06362611,127.0668591,3159.4
장당 택지지구 어린이공원,경기도 평택시 장당동 661,37.04792507,127.0564322,2395
장안하늘채 어린이공원(동부 18호),경기도 평택시 장안동 620,37.06111489,127.0807002,3373
점촌 어린이공원,경기도 평택시 서정동 881,37.0636194,127.0548322,1654.9
제1호 어린이공원 제130호(가재지구),경기도 평택시 가재동 442,37.04375457,127.0764562,1730
제1호 어린이공원(브레인시티),경기도 평택시 장안동 60-1,37.05746599,127.0921607,1515
제1호 어린이공원(하북리),경기도 평택시 진위면 하북리 94-1,37.11216219,127.0637121,1542
제2호 어린이공원 제131호(가재지구),경기도 평택시 가재동 534,37.04283795,127.0740533,2590
제2호 어린이공원(견산리),경기도 평택시 진위면 견산리 393,37.10808865,127.0722135,2526
제2호 어린이공원(브레인시티),경기도 평택시 장안동 211-3,37.05103019,127.0887314,1510
제3호 어린이공원 제132호(가재지구),경기도 평택시 가재동 산88-2,37.04094677,127.0782721,3240
제3호 어린이공원(가곡리),경기도 평택시 진위면 가곡리 79-1,37.11204236,127.0883785,2202
광말 어린이공원,경기도 평택시 이충동 631,37.05777703,127.0629785,1536.2
35호 어린이공원(여염리),경기도 평택시 고덕면 여염리 산66,37.03573893,127.0439118,1712
노루댕이 어린이공원(장당 3호),경기도 평택시 장당동 641-9,37.05180377,127.0648593,1500
돌우물 어린이공원,경기도 평택시 이충동 676,37.05854776,127.0691571,4039.3
동령 어린이공원,경기도 평택시 이충동 687,37.06095512,127.0691777,1997.2
동막골(동구재) 어린이공원,경기도 평택시 서정동 845,37.06626476,127.0611913,1600.1
