번호,사업장명,도로명전체주소,소재지면적,X,Y
2580,홈플러스 주식회사 부천여월점,경기도 부천시 소사로 663 (여월동),16035.41,126.8024097,37.5158442
2591,롯데쇼핑(주) 롯데마트 고양점,경기도 충장로 150 (롯데마트고양점),5978,127.0085837,37.2753596
2593,코스트코 홀세일 일산점,경기도 고양시 일산동구 백석2동 장백로 25,14989,126.788367,37.6405012
2594,(주)이마트 화정점,"경기도 고양시 덕양구 백양로 79 (화정동, 이마트)",8988,126.8334036,37.6326839
2595,홈플러스(주) 일산점,경기도 고양시 일산동구 중앙로1275번길 64 (장항동),12885,126.7688557,37.6590402
2620,홈플러스(주) 고양터미널점,경기도 고양시 일산동구 중앙로 1036-0 (백석동),18422.06,126.7896605,37.6431815
2622,홈플러스(주) 킨텍스점,경기도 고양시 일산서구 호수로 817 (대화동),20138,126.7510744,37.6677912
2627,홈플러스(주) 안산점,경기도 안산시 상록구 충장로 432 (성포동),18793,126.8500964,37.3173216
2647,(주)이마트 트레이더스 안산점,"경기도 안산시 단원구 중앙대로 397, 이마트트레이더스 (신길동)",9207.06,126.7849924,37.3311059
2653,홈플러스(주)안산선부점,경기도 안산시 단원구 삼일로 316 (선부동),9350.94,126.8126183,37.3337922
2658,코스트코 홀세일 광명점,"경기도 광명시 일직로 40 (일직동, costco 광명점)",13736.11,126.8864453,37.4205341
2660,(주) 이마트 광명소하점,경기도 광명시 소하로 97 (소하동),14847.87,126.8846006,37.4466381
2672,롯데마트부평역점,인천광역시 부평구 부평동 광장로 16 민자상가 2층,8082,126.7227653,37.4899072
2699,홈플러스 인천숭의점,인천광역시 남구 석정로 51 (숭의동),19460.55,126.6435088,37.4655882
2703,홈플러스(주) 인하점,인천광역시 남구 소성로 6 (용현동),15198,126.6508925,37.4472197
2715,롯데쇼핑(주)롯데마트 부평점,"인천광역시 부평구 마장로 296-0 (산곡동, 롯데마트 부평점)",13763,126.7040732,37.504985
2716,롯데쇼핑(주)롯데마트 부평역점,인천광역시 부평구 광장로 16-0 (부평동),8695,126.7227653,37.4899072
2721,롯데쇼핑(주)롯데마트 삼산점,"인천광역시 부평구 길주로 623 (삼산동, 대덕리치아노)",15652.92,126.7320394,37.5078565
2723,롯데쇼핑(주)롯데마트부평점,인천광역시 부평구 산곡동 마장로 296,1606.6,126.7040732,37.504985
2732,홈플러스(주) 간석점,"인천광역시 남동구 경원대로 971 (간석동,외 2필지)",32550.72,126.6891178,37.469608
2750,롯데쇼핑(주)롯데마트 영종도점,인천광역시 중구 흰바위로 51 (운서동),8621.42,126.4911878,37.4926725
2752,(주)이마트  동인천점,인천광역시 중구 인중로 134 (신생동),10337,126.6292253,37.4665676
2766,(주)이마트 진주점,경상남도 진주시 진양호로 477-0 (인사동),10370,128.0773942,35.1915799
