_시설명,주    소,X,Y
장수한누리전당,장수군 한누리로 393,127.5182566,35.6412785
순창군 향토회관,순창군 순창읍 장류로 407-11,127.1473599,35.377462
고창문화의전당,고창군 고창읍 모양성로 11,126.7045238,35.4332024
부안예술회관,부안군 부안읍 예술회관길11,126.7256015,35.7243405
목포문화예술회관,목포시 남농로 102,126.418428,34.791941
목포시민문화체육센터,목포시 부주로 312,126.4368474,34.8123157
시민회관,여수시 좌수영로 69,127.7279175,34.7469672
순천시문화예술회관,순천시 삼산로 16(석현동),127.4853627,34.97066198
나주문화에술회관,나주시 에향로 4137,126.7123097,35.02258141
광양문화예술회관,광양시 광양읍 향교길 9-30,127.5874808,34.980244
담양문화회관,전남 담양군 담양읍 지침6길 29,126.9854178,35.3163511
곡성레저문화센터,전남 곡성군 곡성읍 곡성로 855,127.2986725,35.281283
구례문화예술회관,구례군 구례읍 양정2길 11,127.4714344,35.2069833
고흥문화회관,고흥군 고흥읍 고흥로 1892-67,127.298299,34.6143359
보성군문화예술회관,보성군 보성읍 송재로 281-9,127.0884029,34.778052
장흥문화예술회관,전라남도 장흥군 장흥읍 읍성로 96,126.8989697,34.6759299
해남문화예술회관,해남군 해남읍 군청길 4,126.5991518,34.5735523
승달문화예술회관,전남 무안군 무안읍 창포로 8,126.4720344,34.9903318
영광예술의전당,영광군 영광읍 천년로 13길 2-34,126.5083222,35.2723706
장성문화예술회관,전라남도 장성군 장성읍 문화로 110,126.767336,35.3025079
완도 문화예술의 전당,전남 완도군 완도읍 개포로159번길 55,126.7415802,34.3238111
진도향토문화회관,진도군진도읍 진도대로 7197,126.2692008,34.4795681
강진아트홀,강진군 강진읍 영랑로1길 9,126.7704973,34.6381754
남도소리울림터,전남 무안군 삼향읍 남악로 222,126.462918,34.8049861
GS칼텍스 예울마루,전라남도 여수시 예울마루로 100,127.6654087,34.7506159
포항문화예술회관,포항시 남구 희망대로 850,129.3641804,36.010522
대잠홀,포항시 남구 시청로 1,129.3431898,36.0187979
중앙아트홀,포항시 북구 서동로 83,129.3673236,36.0409297
경주예술의전당,경주시 알천북로1(황성동),129.2066411,35.8622859
서라벌문화회관,경주시 금성로 236(사정동),129.2076746,35.8384459
김천시문화예술회관,김천시 운동장길3,128.0886468,36.1382646
김천시립문화회관,김천시 김천로 200,128.1220283,36.1187493
안동문화예술의전당,안동시 축제장길66 (안흥동373-4),128.7253052,36.559431
구미문화예술회관,구미시 송정대로 89,128.3490631,36.1183209
강동복지문화예술회관,구미시 인동가산로 392,128.4546529,36.090117
영주문화예술회관,영주시 가흥로 257(가흥동),128.6134459,36.8196927
영주시민회관,영주시 선비로 213(영주동),128.6169816,36.8230988
영천시민회관,영천시 시청로 17,128.9375794,35.9722016
상주문화회관,경북 상주시 상산로 235,128.1591916,36.4118982
문경문화예술회관,문경시 신흥로 85,128.197823,36.5903121
경산시민회관,경상북도 경산시 계양로 28,128.7478399,35.8182664
의성문화회관,의성군 의성읍 충효로 88,128.7027605,36.3552497
청송문화예술회관,청송군 청송읍 금월로 244-30,129.0591573,36.4297475
영양군 문화체육센터,영양군 영양읍 군민회관길 50,129.1174785,36.6598908
예주문화예술회관,영덕군 영해면 318만세길 36,129.4050996,36.5297205
대가야문화누리,고령군 대가야읍 왕릉로 30,128.2630949,35.7235724
성주군문화예술회관,성주군 성주읍 성산9길 45,128.301445,35.9183152
칠곡군 교육문화회관,칠곡군 왜관읍 관문로1길 32,128.417522,35.9917581
예천군문화회관,예천군 예천읍 충효로 209-15,128.4459856,36.6514289
울진문화예술회관,울진군 후포면 후포삼율로 194-14,129.4437686,36.6874622
울릉한마음회관,경상북도 울릉군 울릉읍 울릉순환로286,130.9047072,37.4905408
삼국유사문화회관,경상북도 군위군 군위읍 군청로 158,128.574422,36.2374567
성산아트홀,경상남도 창원시 의창구 중앙대로 181(용호동),128.6834838,35.2298068
3?15 아트센터,경상남도 창원시 마산회원구 삼호로 135(양덕동),128.5776615,35.2257969
진해구민회관,경상남도 창원시 진해구 진해대로 325(태백동),128.6592563,35.1695465
경상남도문화예술회관,경상남도 진주시 강남로 215,128.0919167,35.1869003
통영시민문화회관,경상남도 통영시 남망공원길 29,128.4297113,34.8407544
통영국제음악당,경상남도 통영시 큰발개 1길 38,128.4400858,34.8260232
사천시문화에술회관,경상남도 사천시 삼천포대교로 471(동림동),128.0752632,34.9399586
김해문화의전당,경상남도 김해시 김해대로 2060(내동),128.8694013,35.2437217
김해서부문화센터,경상남도 김해시 율하2로 210(율하동),128.8208894,35.1726154
밀양아리랑아트센터,경상남도 밀양시 밀양대공원로 112,128.7582898,35.504373
거제문화예술회관,경상남도 거제시 장승로145,128.7236708,34.8670086
양산문화예술회관,경상남도 양산시 중앙로 39-1,129.0367095,35.3335778
의령군민문화회관,경상남도 의령군 의병로24길 31-1,128.2648094,35.3177575
함안문화예술회관,경상남도 함안군 가야읍 함안대로 619--1,128.3992039,35.2819451
창녕문화예술회관,경상남도 창녕군 창녕읍 우포2로 1189-25,128.4903405,35.5444284
고성군문화체육센터,경상남도 고성군 송학고분로193,128.3103373,34.9785649
남해문화센터,경상남도 남해군 남해읍 선소로 12,127.8995432,34.8451138
하동문화예술회관,경상남도 하동군 하동읍 섬진강대로 2222,127.741151,35.07241
산청문화예술회관,경상남도 산청군 금서면 친환경로2631번길 12,127.8731659,35.4200924
함양문화예술회관,경상남도 함양군 함양읍 필봉산길 55,127.7224745,35.5243021
거창군문화센터,경상남도 거창군 거창읍 수남로 2181,127.9103571,35.6740626
합천군문화예술회관,경상남도 합천군 합천읍 황강체육공원로 93,128.1705052,35.5648015
제주특별자치도 문예회관,제주특별자치도 제주시 동광로69(일도 2동),126.5353044,33.5044048
제주아트센터,제주시 오남로 231,126.5153974,33.4752726
서귀포예술의전당,제주도서귀포시태평로270(서홍동),126.5509475,33.2461483
