시장명,최종주소,X,Y,점포수,bus_st_num_500m,bus_st_num_1k,Ur_rail_num_500m,Ur_rail_num_1k,Bus_te_num_2k ,Bus_te_num_3k,Bus_te_num_2_3k,spot_num_3k,spot_num_5k,spot_num_3_5k,univ_num_1k,parking_num_500m,parking_car_num_500m,점포당 주차구획수,mart_num_1.5k,Mart_num_bool,ur_park_num_165m,cull_hall_num_3k,cul_hall_num_5k,stor_cnt,residnt_cnt_sum,mkt_cnt_sum,stor_cnt_sum,person_mkt_cnt
영남종합시장,부산광역시 연제구 연산동 1364-2,129.0770123,35.1807856,24,0,9,1,8,0,0,0,2,10,8,0,0,0,0,1,1,0,0,3,28,209688,16,876,239
영덕시장,경상북도 영덕군 영덕읍 남석길 23-48,129.3696921,36.4067089,79,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,79,36399,6,504,72
영도봉래시장,부산광역시 영도구 태종로105번길 36,129.0432918,35.0927083,77,0,0,0,1,0,0,0,18,28,10,0,4,138,2,2,1,0,2,2,76,113621,6,968,117
영도시장,서울특별시 동작구 장승배기로 10길26,126.9405996,37.5042527,151,37,114,1,2,0,0,0,0,3,3,0,0,0,0,0,0,2,0,4,56,391896,22,1372,286
영동교골목시장,서울특별시 광진구 동일로10길 30,127.0633563,37.538016,59,22,71,0,4,0,0,0,0,2,2,0,0,0,0,1,1,0,2,3,58,347285,12,871,399
영동시장,경기도 수원시 팔달구 수원천로255번길 6(영동),127.0186328,37.2769211,300,17,61,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,2,3,300,174709,13,2049,85
영동전통시장,서울특별시 강남구 논현동 140,127.0236774,37.5099424,114,20,84,1,4,2,3,1,3,6,3,0,1,192,2,1,1,0,0,3,109,539838,10,950,568
영동전통시장,충청북도 영동군 영동읍 영산로1길 13-1,127.7760247,36.1751038,169,13,23,0,0,1,1,0,1,1,0,0,1,10,0,0,0,0,1,1,189,47561,7,613,78
영동중앙시장,충청북도 영동군 영동읍 중앙로 21,127.7756813,36.1746976,92,12,23,0,0,1,1,0,1,1,0,0,1,10,0,0,0,0,1,1,95,47561,7,613,78
영등포유통상가,서울특별시영등포구당산동2가 30-2,126.8962659,37.5264087,1037,21,116,2,5,0,0,0,0,0,0,0,3,261,0,4,1,0,1,4,1037,378276,24,5119,74
영선신시장,대구광역시 남구 중앙대로48길 36,128.5929321,35.852317,128,10,103,1,4,0,0,0,1,3,2,2,3,89,1,0,0,0,3,7,121,146658,47,4097,36
영신상가,서울특별시영등포구영등포로225(영등포동5가),126.9066217,37.5199275,99,42,102,2,3,0,0,0,0,0,0,0,1,172,2,3,1,0,2,5,105,378276,24,5119,74
