시장명,최종주소,X,Y,점포수,bus_st_num_500m,bus_st_num_1k,Ur_rail_num_500m,Ur_rail_num_1k,Bus_te_num_2k ,Bus_te_num_3k,Bus_te_num_2_3k,spot_num_3k,spot_num_5k,spot_num_3_5k,univ_num_1k,parking_num_500m,parking_car_num_500m,점포당 주차구획수,mart_num_1.5k,Mart_num_bool,ur_park_num_165m,cull_hall_num_3k,cul_hall_num_5k,stor_cnt,residnt_cnt_sum,mkt_cnt_sum,stor_cnt_sum,person_mkt_cnt
(유)문경시중앙시장,경상북도 문경시 중앙로 87,128.1972168,36.5936476,38,6,16,0,0,0,0,0,0,0,0,0,10,951,25,2,1,0,1,1,40,71213,11,775,92
(주)서시장,전라남도 여수시 좌수영로 16-6,127.7286116,34.7417762,209,36,83,0,0,0,1,1,4,5,1,0,1,241,1,0,0,0,1,1,191,280549,30,3164,89
(주)신정시장,울산광역시 남구 월평로47번길 7,129.3102975,35.5423176,105,24,79,0,0,0,1,1,0,0,0,0,4,240,2,2,1,0,2,2,94,320716,18,2370,135
(주)야음시장,울산광역시 남구 야음동 815-22,129.3312246,35.5240983,90,19,63,0,0,1,1,0,0,0,0,0,1,103,1,2,1,0,1,2,85,320716,18,2370,135
(주)여수수산시장,전라남도 여수시 여객선터미널길 24,127.7317359,34.738141,115,30,95,0,0,0,1,1,4,5,1,0,4,190,2,1,1,0,1,1,124,280549,30,3164,89
1913송정역시장(송정역전매일시장),광주광역시 광산구 송정로 8번길 33,126.7914845,35.1355669,86,12,39,2,3,0,0,0,0,0,0,0,2,159,2,0,0,0,1,1,75,406126,15,1464,277
가경터미널시장,충청북도 청주시 흥덕구 풍년로160번길 42-1,127.4350317,36.6273666,84,27,114,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,2,85,265311,8,552,481
가락타운상가시장,부산광역시 사하구 하신번영로 233,128.9574614,35.1009883,135,0,3,0,1,0,0,0,3,4,1,0,1,28,0,1,1,0,1,1,135,312840,30,2312,135
가리봉시장,서울특별시 구로구 우마3길 15,126.8890886,37.481686,70,34,137,0,3,0,0,0,0,0,0,0,6,132,2,2,1,0,4,5,76,405194,13,1096,370
가야벽산상가,부산광역시 부산진구 엄광로 68,129.024391,35.1466738,52,0,6,0,2,0,0,0,6,15,9,1,0,0,0,2,1,0,0,2,61,359375,52,10181,35
가야상설장시장(가야시장),경상남도 함안군 가야읍 가야8길8,128.4064689,35.2772606,85,6,10,0,0,1,1,0,0,0,0,0,6,381,4,0,0,0,1,1,87,64235,4,148,434
가양시장,대전광역시 동구 매봉로 18,127.443186,36.3461683,25,18,88,0,0,1,1,0,2,4,2,0,6,331,13,6,1,0,0,2,15,222446,33,3884,57
가은아자개시장,경상북도 문경시 가은읍 가은5길 7,128.0609416,36.6464624,93,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,1,0,0,67,71213,11,775,92
가음정대상가,경상남도 창원시 성산구 원이대로 883번길 15-24,128.6969638,35.208006,260,20,82,0,0,0,0,0,0,2,2,0,13,843,3,0,0,0,1,1,162,215143,19,2837,76
가음정시장,경상남도 창원시 성산구 원이대로863번길24,128.6977242,35.2083081,186,22,84,0,0,0,0,0,0,2,2,0,15,1257,7,0,0,0,1,1,192,215143,19,2837,76
가좌시장,인천광역시 서구 장고개로337번길18-19,126.6833968,37.4941423,139,41,96,0,2,0,0,0,1,4,3,0,0,0,0,1,1,0,2,3,139,542611,6,689,788
가평잣고을전통시장,경기도 가평군 가평읍 장터2길10,127.5151089,37.8296647,90,13,42,0,0,1,1,0,0,0,0,0,8,261,3,0,0,1,1,1,137,62495,2,241,259
간석자유시장,인천광역시 남동구 백범로312-1,126.7153407,37.4638861,128,20,79,0,3,0,1,1,1,2,1,0,8,226,2,0,0,0,2,4,128,526337,8,1284,410
간성시장,강원도 고성군 간성읍 신안리 311-10,128.4694402,38.3799488,88,9,13,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,95,26798,2,153,175
갈산정기장시장,충청남도 홍성군 갈산면 상촌로 29,126.5505081,36.6036957,34,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,99890,9,1020,98
감만시장,부산광역시 남구 홍곡로 17,129.0822513,35.1162898,63,0,0,0,0,0,0,0,0,16,16,0,3,60,1,1,1,0,3,4,107,268249,23,2012,133
감전시장,부산광역시 사상구 새벽로168번길 21-6,128.9846024,35.1561438,150,10,23,0,6,1,1,0,0,2,2,0,1,111,1,2,1,0,0,0,167,213178,33,11709,18
감전제일상가시장,부산광역시 사상구 감전동 121-12,128.9844255,35.1560371,57,9,23,0,6,1,1,0,0,2,2,0,1,111,2,2,1,0,0,0,57,213178,33,11709,18
감천2동시장,부산광역시 사하구 옥천로75번길 17,129.0087684,35.0936765,54,0,0,0,0,0,0,0,17,27,10,0,5,300,6,0,0,0,1,1,58,312840,30,2312,135
감천시장,부산광역시 사하구 옥천로 8,129.005565,35.0882316,47,0,0,0,0,0,0,0,14,27,13,0,1,27,1,0,0,0,0,1,55,312840,30,2312,135
감포시장,경상북도 경주시 감포읍 감포로115,129.5020112,35.8041067,48,18,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,253468,31,6195,41
강경대흥시장,충청남도 논산시 강경읍 대흥로 23- 1,127.0136848,36.1559746,95,20,33,0,0,0,0,0,0,0,0,0,7,448,5,0,0,0,0,0,110,116888,10,1276,92
강경젓갈시장,충청남도 논산시 강경읍 금백로 45,127.0098086,36.1575559,140,12,28,0,0,0,0,0,0,0,0,0,6,412,3,0,0,2,0,0,93,116888,10,1276,92
강구시장,경상북도 영덕군 강구면 강구시장1길 1-3,129.3799788,36.3579539,54,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,52,36399,6,504,72
강남시장,경기도 부천시 옥산로154번길 20,126.7813066,37.5072218,110,28,136,0,2,1,1,0,0,3,3,0,1,145,1,0,0,0,2,2,107,819990,19,1910,429
강남시장,서울특별시 강남구 압구정로 2길 46,127.0206781,37.5187478,70,20,53,1,2,2,2,0,3,5,2,0,1,7,0,0,0,0,0,5,88,539838,10,950,568
강남시장,서울특별시 동작구 상도로 357,126.953483,37.4968708,30,14,95,1,2,0,0,0,1,4,3,1,0,0,0,0,0,0,0,1,88,539838,10,950,568
강릉동부시장,강원도 강릉시 수문길19번옆길 12-1,128.9020026,37.75584,227,14,53,0,0,0,1,1,0,0,0,0,3,400,2,0,0,0,2,2,193,213189,7,898,237
강릉서부시장,강원도 강릉시 임영로 155번길 6,128.8908259,37.7550149,151,15,46,0,0,1,1,0,0,0,0,0,19,421,3,0,0,0,2,2,193,213189,7,898,237
강릉성남시장,강원도 강릉시 중앙시장길 24-2,128.899072,37.7537359,128,13,51,0,0,1,1,0,0,0,0,0,7,1019,8,0,0,1,2,2,128,213189,7,898,237
강북북부시장,서울특별시 강북구 한천로 123길 26,127.0303436,37.6362328,50,37,109,1,1,0,0,0,0,0,0,0,1,185,4,0,0,0,2,3,46,308569,25,1588,194
강북종합전통시장,서울특별시 강북구 한천로144길 12,127.0257312,37.6415199,69,36,114,1,1,0,0,0,0,0,0,0,5,229,3,0,0,2,2,3,88,308569,25,1588,194
강진읍시장,전라남도 강진군 강진읍 동성리 187-5,126.7737762,34.6399302,88,7,14,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,94,34670,2,130,267
강화중앙시장(a동b동),인천광역시 강화군 강화읍 중앙로 17-9,126.4929236,37.7415108,150,17,49,0,0,0,0,0,0,2,2,0,3,424,3,0,0,0,1,1,84,69074,6,866,80
강화터미널상가,인천광역시 강화군 강화읍 중앙로 43,126.490461,37.7398666,106,24,43,0,0,0,0,0,0,2,2,0,3,424,4,0,0,0,1,1,112,69074,6,866,80
강화풍물시장,인천광역시 강화군 강화읍 중앙로 17-9,126.4929236,37.7415108,194,17,49,0,0,0,0,0,0,2,2,0,3,424,2,0,0,0,1,1,212,69074,6,866,80
개금골목시장,부산광역시 부산진구 가야공원로 14번길 85,129.0249062,35.1518795,120,3,6,2,4,0,0,0,1,12,11,1,0,0,0,2,1,0,0,2,114,359375,52,10181,35
개금큰시장,부산광역시 부산진구 엄광로 15,129.0179939,35.1485125,67,2,7,0,4,0,0,0,2,13,11,2,0,0,0,2,1,0,0,2,25,359375,52,10181,35
개봉중앙시장,서울특별시 구로구 개봉로 17길 34,126.8539297,37.4917481,19,28,102,0,2,0,0,0,0,0,0,1,3,45,2,0,0,0,2,4,20,405194,13,1096,370
개봉프라자,서울특별시 구로구 고척로40길 19,126.8511719,37.5019931,99,38,115,0,0,0,0,0,0,0,0,1,2,141,1,0,0,0,2,4,50,405194,13,1096,370
거성시장,부산광역시 연제구 아시아드대로56,129.0682053,35.1898594,54,17,34,1,4,0,0,0,5,11,6,1,0,0,0,1,1,0,0,1,25,209688,16,876,239
거제고현시장,경상남도 거제시 고현동 98-27,128.6236298,34.8862411,70,31,51,0,0,1,1,0,1,2,1,0,19,361,5,1,1,0,0,0,265,245956,10,731,336
거제시장,부산광역시 연제구 거제시장로14번길28,129.0728003,35.1819137,80,4,16,2,7,0,0,0,2,10,8,0,1,14,0,2,1,0,0,2,81,209688,16,876,239
거진시장,강원도 고성군 거진읍 거진시장길 15,128.4542759,38.447777,64,8,18,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,1,1,58,26798,2,153,175
거창시장,경상남도 거창군 거창읍 중앙로 140,127.9139336,35.6868015,283,0,0,0,0,1,1,0,0,0,0,0,2,74,0,0,0,0,1,1,372,61409,4,421,146
건천시장,경상북도 경주시 건천읍 내서로 1131-1,129.104807,35.8483494,40,15,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,253468,31,6195,41
경동광성상가,서울특별시 동대문구 고산자로 464,127.0387943,37.5809154,82,24,93,1,4,0,0,0,0,4,4,0,5,365,4,2,1,0,2,3,86,343377,38,5801,59
경동시장,서울특별시 동대문구 제기동 1015,127.0396713,37.578742,556,22,90,1,4,0,0,0,0,4,4,0,4,301,1,2,1,0,2,3,678,343377,38,5801,59
경민인터빌상가,경상남도 창원시 마산회원구 양덕북12길 113,128.5838236,35.2318429,80,20,57,0,0,1,1,0,0,1,1,0,3,117,1,2,1,0,1,1,57,191730,15,1051,182
경산공설시장,경상북도 경산시 경안로31길 19,128.7354442,35.820506,262,16,78,0,0,1,1,0,0,0,0,0,9,331,1,1,1,0,1,1,398,262988,10,1377,191
경안시장,경기도 광주시 중앙로123번길 13,127.2567705,37.4100614,67,47,103,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,80,381324,1,80,4767
경주성동공설시장,경상북도 경주시 원화로 281번길 11-11,129.2162722,35.8455153,546,11,44,0,0,1,1,0,0,0,0,0,1,100,0,0,0,0,2,2,610,253468,31,6195,41
경주중심상가시장,경상북도 경주시 태종로 791번길16,129.214684,35.8422688,489,15,42,0,0,1,1,0,0,0,0,0,1,100,0,0,0,0,2,2,513,253468,31,6195,41
경주중앙시장,경상북도 경주시 금성로 295,129.2062871,35.8440297,636,11,37,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,700,253468,31,6195,41
경창상가,경상남도 창원시 성산구 상남로 67,128.6793166,35.2201492,80,20,62,0,0,0,0,0,2,2,0,0,2,60,1,3,1,0,1,1,73,215143,19,2837,76
경창시장,서울특별시 양천구 오목로9길 31,126.8421202,37.5249442,50,8,69,0,2,0,0,0,0,1,1,0,1,45,1,0,0,2,1,1,52,455058,21,1359,335
경화시장,경상남도 창원시 진해구 경화시장로 35,128.6903357,35.1567265,143,9,40,0,0,0,1,1,1,1,0,0,0,0,0,2,1,0,0,1,143,192612,5,586,329
계산시장,인천광역시 계양구 계산 시장길 10-18,126.737677,37.537101,112,67,147,0,1,0,0,0,2,4,2,0,1,10,0,3,1,1,1,2,135,297148,4,519,573
계양산전통시장,인천광역시 계양구 병방동 383,126.7392634,37.5483807,127,28,77,1,2,0,0,0,0,3,3,0,4,149,1,2,1,1,1,1,128,297148,4,519,573
계천공설시장(계천시장),경상남도 하동군 금남면 섬진강대로 977-17,127.8092775,34.9963361,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,91445,6,293,312
고려쇼핑센터,부산광역시 사상구 괘법동 535-11,128.9841765,35.1636108,151,9,25,4,6,1,1,0,0,1,1,0,2,64,0,2,1,1,0,0,260,213178,33,11709,18
고리울동굴시장,경기도 부천시 고리울로64번길 27,126.8227042,37.5258425,62,42,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,71,819990,19,1910,429
고분다리전통시장,서울특별시 강동구 구천면로34길 13,127.131943,37.5424957,106,27,86,0,5,0,0,0,1,1,0,0,5,932,9,2,1,0,1,1,86,458604,13,1246,368
고산미소시장,전라북도 완주군 고산면 남봉로 134,127.2054426,35.9742433,32,13,20,0,0,0,0,0,2,2,0,0,2,122,4,0,0,0,0,0,30,91445,6,293,312
고성공룡시장,경상남도 고성군 고성읍 성내로112번길 75-8,128.3234132,34.9726893,96,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,100,51442,4,504,102
고성시장,경상남도 고성군 고성읍 서외리 1-6,128.3232111,34.9769898,320,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,310,51442,4,504,102
고창전통시장,전라북도 고창군 고창읍 동리로 62-11,126.6987728,35.4326628,67,13,19,0,0,1,1,0,0,1,1,0,3,124,2,0,0,0,1,1,72,54486,7,384,142
고척골목시장상점가,서울특별시 구로구 고척동 51-10,126.8627433,37.5033756,51,33,90,0,2,0,0,0,0,0,0,1,1,88,2,0,0,0,4,5,41,405194,13,1096,370
고척근린시장,서울특별시 구로구 고척로 40길 19,126.8511719,37.5019931,71,38,115,0,0,0,0,0,0,0,0,1,2,141,2,0,0,0,2,4,67,405194,13,1096,370
고한구공탄시장(고한시장),강원도 정선군 고한읍 고한 4길 38-6,128.8540536,37.2013239,84,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,36937,4,555,67
고흥전통시장,전라남도 고흥군 고흥읍 남계리 628,127.2859546,34.608089,121,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,111,64013,5,321,199
골드테마거리,부산광역시 부산진구 범일로 134,129.0597872,35.1419165,324,4,8,1,7,0,0,0,3,13,10,0,7,157,0,2,1,0,1,4,490,359375,52,10181,35
공덕시장,서울특별시 마포구 공덕동 256-30,126.9538201,37.5448273,90,48,147,3,7,0,0,0,0,0,0,1,0,0,0,2,1,1,1,5,43,372320,16,994,375
공릉동도깨비시장,서울특별시 노원구 동일로180길 53,127.0771778,37.6228677,110,33,117,1,4,0,0,0,1,3,2,1,1,10,0,1,1,0,0,2,105,523708,4,358,1463
공주산성시장,충청남도 공주시 용당길 22,127.1226105,36.4588168,560,39,82,0,0,1,1,0,3,3,0,0,11,224,0,0,0,0,1,1,529,104736,6,1941,54
공항시장,대구광역시 동구 해동로3길 6,128.6382452,35.8963934,62,18,42,0,0,0,1,1,1,4,3,0,4,529,9,0,0,0,1,3,56,342432,46,2991,114
과역전통시장,전라남도 고흥군 과역면 시장안길 15,127.3622549,34.6794504,35,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,64013,5,321,199
과천새서울프라자시장,경기도 과천시 별양상가 2로 20,126.9925683,37.4268384,173,23,60,1,2,0,0,0,0,1,1,0,30,1526,9,1,1,0,1,1,135,62026,2,237,262
관고전통시장,경기도 이천시 중리천로 31번길 22,127.4403563,37.2808195,118,18,57,0,0,1,1,0,0,0,0,0,22,486,4,1,1,1,1,1,110,219525,3,238,922
관문상가시장,대구광역시 남구 대명서7길 24-3,128.5579741,35.8355936,294,40,108,1,3,1,1,0,0,1,1,0,5,183,1,0,0,0,2,5,290,146658,47,4097,36
관문시장,대구광역시 남구 대명서7길 24-3,128.5579741,35.8355936,122,40,108,1,3,1,1,0,0,1,1,0,5,183,2,0,0,0,2,5,31,146658,47,4097,36
관아골상가,충청북도 충주시 관아1길 14,127.9351073,36.9702667,89,30,74,0,0,0,1,1,0,1,1,0,2,184,2,1,1,1,1,1,95,210313,21,3285,64
관악신사시장,서울특별시 관악구 관천로19길 89,126.9170781,37.4867844,100,22,83,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,6,100,496059,29,1559,318
관악종합시장,서울특별시 관악구 신원로 23,126.9279506,37.4816125,56,26,84,1,1,0,0,0,1,2,1,0,0,0,0,0,0,1,1,4,57,496059,29,1559,318
광덕시장,대구광역시 남구 자유6길50,128.5824145,35.8371721,100,20,62,0,3,0,1,1,0,1,1,0,1,32,0,0,0,1,2,5,20,146658,47,4097,36
광명새마을시장,경기도 광명시 광명동 342-12,126.8514247,37.473667,169,32,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,190,300092,2,600,500
광명전통시장,경기도 광명시 광이로13번길 17-5,126.8561676,37.4799572,370,41,138,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,410,300092,2,600,500
광성시장,서울특별시 광진구 능동로 47길 30,127.0811355,37.5635922,135,29,94,1,3,0,0,0,2,3,1,0,0,0,0,0,0,0,0,3,24,347285,12,871,399
광안시장,부산광역시 수영구 수영로603번길 18,129.1124776,35.1601029,60,0,0,2,5,0,0,0,2,5,3,0,0,0,0,1,1,0,1,4,60,176885,38,2851,62
광안어패류시장,부산광역시 수영구 민락수변로7번길 19,129.1246415,35.1555017,80,0,0,0,0,0,0,0,3,4,1,0,2,154,2,1,1,0,1,4,73,176885,38,2851,62
광안종합시장,부산광역시 수영구 무학로49번길 71,129.118142,35.16417,40,0,0,4,7,0,0,0,2,6,4,0,0,0,0,1,1,0,1,3,41,176885,38,2851,62
광양매일시장,전라남도 광양시 광양읍 매천로 821-5,127.5851923,34.975774,53,46,105,0,0,1,1,0,8,12,4,0,0,0,0,0,0,2,1,1,51,150680,11,831,181
광영상설장시장,전라남도 광양시 광영동 682-1,127.7206516,34.9614042,37,8,20,0,0,0,0,0,1,5,4,0,0,0,0,0,0,2,0,0,44,150680,11,831,181
광장시장,서울특별시종로구예지동 2-1,126.9792345,37.5731711,1742,37,132,2,7,0,0,0,1,3,2,0,3,85,0,2,1,0,2,6,1742,149549,36,20299,7
광주양동시장,광주광역시 서구 천변좌로 262,126.9044484,35.1527396,274,24,83,1,4,0,1,1,0,0,0,0,10,231,1,3,1,0,1,6,68,297214,17,2392,124
광천전통시장,충청남도 홍성군 광천읍 광천로 285,126.6252552,36.4998134,178,0,0,0,0,0,0,0,0,0,0,0,4,287,2,0,0,0,0,0,177,99890,9,1020,98
광탄시장,경기도 파주시 광탄면 신산리 222-7,126.8483466,37.7814876,120,28,54,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,169,464453,7,818,568
광희패션몰,서울특별시 중구 마장로1길 21,127.0119234,37.5683944,1270,22,76,2,12,0,0,0,0,3,3,0,2,49,0,1,1,0,2,6,1154,125505,62,21039,6
괴산전통시장,충청북도 괴산군 괴산읍 읍내로 15길8-8,127.7949987,36.8111761,144,0,0,0,0,0,0,0,1,1,0,1,7,203,1,0,0,0,1,1,200,37671,8,424,89
괴정골목시장,부산광역시 사하구 사하로 198,128.9937132,35.0993264,147,4,8,1,3,0,0,0,4,30,26,1,1,62,0,0,0,0,0,2,147,312840,30,2312,135
교동시장,대구광역시 중구 교동2길11,128.5983515,35.8736964,147,45,167,1,3,0,0,0,5,7,2,0,31,1861,13,3,1,0,3,6,240,76727,40,9744,8
교동시장,전라남도 여수시 교동시장1길 15-10,127.7301602,34.7391112,89,31,88,0,0,0,1,1,4,5,1,0,3,304,3,1,1,0,1,1,87,280549,30,3164,89
구담공설시장,경상북도 안동시 풍천면 섬마길 7-9,128.4646095,36.5417161,86,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,158803,22,2003,79
구덕대림상가,부산광역시 사상구 학감대로49번길 62,128.9922204,35.1345203,29,0,0,0,0,0,0,0,3,12,9,0,0,0,0,0,0,1,0,1,32,213178,33,11709,18
구례상설장시장,전라남도 구례군 구례읍 구례1길 45-6,127.4657609,35.2096266,38,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,157,25577,4,496,52
구로시장,서울특별시 구로구 구로동로22길 17-4,126.8856351,37.4896367,161,22,104,1,5,0,0,0,0,0,0,0,6,364,2,1,1,0,3,6,148,405194,13,1096,370
구룡포시장,경상북도 포항시 남구 구룡포읍 구룡포길 72-1,129.554005,35.9903145,125,6,12,0,0,0,0,0,0,0,0,0,5,484,4,0,0,0,0,0,10,230573,13,828,278
구리전통시장,경기도 구리시 검배로 6번길 31,127.1399099,37.5995542,216,28,129,0,0,0,0,0,3,4,1,0,7,594,3,1,1,0,2,2,281,197608,1,281,703
구매탄시장,경기도 수원시 영통구 매여울로53번길 50-1(매탄동),127.0419274,37.2726066,118,23,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,194,274148,4,636,431
구미공단종합시장,경상북도 구미시 수출대로3길107,128.3715132,36.1206508,52,22,52,0,0,1,1,0,0,0,0,1,1,14,0,1,1,0,1,1,94,416279,33,5256,79
구미산업유통단지,경상북도 구미시 3공단1로 302-7,128.4033062,36.1097236,728,13,29,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,728,416279,33,5256,79
구미새마을중앙시장,경상북도 구미시 구미중앙로9길 11,128.3298203,36.1308944,305,26,87,0,0,0,1,1,0,0,0,0,4,129,0,0,0,0,1,1,185,416279,33,5256,79
구미종합상가,경상북도 구미시 구미중앙로9길 7,128.3296512,36.130318,75,22,85,0,0,0,1,1,0,0,0,0,4,129,2,0,0,0,1,1,50,416279,33,5256,79
구미파크시장,경상북도 구미시 송동로 154,128.3244671,36.1475648,30,10,47,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,30,416279,33,5256,79
구서오시게시장,부산광역시 금정구 구서로12,129.0897585,35.2473374,93,16,38,1,1,0,0,0,6,15,9,1,2,150,2,1,1,0,1,2,106,233303,16,1383,169
구암시장,경상남도 창원시 마산 회원구 구암남 14길 8,128.6817216,35.2279599,50,19,51,0,0,0,0,0,2,2,0,0,7,73,1,4,1,0,1,1,56,191730,15,1051,182
구암현대시장,경상남도 창원시 마산회원구 구암서2길 48,128.5915431,35.2479677,59,17,53,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,74,191730,15,1051,182
구역전시장,울산광역시중구구역전길24-2(학성동),129.3284093,35.5572973,78,27,80,0,0,0,1,1,0,0,0,0,4,191,2,1,1,0,2,3,167,218096,36,4106,53
구역전전통시장,울산광역시중구구역전길8(학산동),129.327945,35.5558964,48,30,80,0,0,0,1,1,0,0,0,0,3,150,3,1,1,0,2,3,45,218096,36,4106,53
구월도매전통시장,인천광역시 남동구 인하로 527,126.7052292,37.4432503,73,30,85,0,2,1,1,0,1,2,1,0,3,53,1,1,1,0,1,3,74,526337,8,1284,410
구월시장,인천광역시 남동구 구월동 1267-4,126.7205471,37.4528779,136,31,90,1,1,0,1,1,0,2,2,0,8,214,2,0,0,0,1,2,147,526337,8,1284,410
구천동공구상가,경기도 수원시 팔달구 수원천로199번길 5(구천동),127.0173645,37.2721259,87,14,70,0,1,1,1,0,0,0,0,0,0,0,0,3,1,0,2,3,96,174709,13,2049,85
구포축산물도매시장,부산광역시 북구 사상로583번길 25,128.989148,35.1961646,205,12,32,0,4,0,0,0,0,0,0,0,1,127,1,0,0,0,1,1,206,284872,11,2536,112
국민시장,부산광역시 동래구 사직동 44-1,129.0582362,35.1983929,78,10,16,0,1,0,0,0,3,10,7,0,0,0,0,1,1,1,0,1,78,271187,28,2517,108
국제상가,부산광역시 부산진구 백양관문로 104-1,129.0282094,35.1684281,100,4,10,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,99,359375,52,10181,35
국제시장,부산광역시 중구 국제시장 2길 25,129.0283009,35.1015259,819,6,15,1,4,0,0,0,23,30,7,0,7,525,1,1,1,0,1,2,580,41501,30,6993,6
군산공설시장,전라북도 군산시 신금길 18,126.7202263,35.9828739,285,15,46,0,0,1,1,0,0,2,2,0,7,363,1,1,1,0,1,1,282,267911,14,1567,171
군산수산물종합센터,전라북도 군산시 내항2길 216,126.704503,35.9937003,150,6,21,0,0,0,1,1,0,2,2,0,5,361,2,0,0,0,0,1,152,267911,14,1567,171
군산신영시장,전라북도 군산시 동신영길 56,126.7201155,35.9856125,72,12,42,0,0,1,1,0,0,2,2,0,7,601,8,1,1,0,1,1,120,267911,14,1567,171
군산주공시장,전라북도 군산시 하나운안1길 39,126.6954368,35.9657447,43,10,45,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,76,267911,14,1567,171
군위전통시장,경상북도 군위군 군위읍 서부리 18-1,128.5679079,36.239723,62,0,0,0,0,1,1,0,0,0,0,0,1,10,0,0,0,0,1,1,52,23299,8,52,448
군포역전시장,경기도 군포시 군포로548-1,126.9470029,37.3548971,58,32,105,1,1,0,0,0,3,6,3,0,8,275,5,0,0,0,1,3,57,274309,3,463,592
굴비골영광시장(구 영광매일시장),전라남도 영광군 영광읍 중앙로3길 5-22,126.5123162,35.2751327,75,11,41,0,0,0,0,0,0,0,0,0,2,188,3,0,0,0,1,1,70,53183,4,286,186
권선종합시장,경기도 수원시 권선구 세권로 185(권선동),127.0248558,37.2560404,109,29,92,0,1,0,1,1,0,0,0,0,0,0,0,3,1,0,2,2,101,369150,2,151,2445
그린종합시장,경상북도 포항시 북구 용두산길 39,129.3809557,36.0672874,32,10,33,0,0,0,0,0,0,0,0,0,4,819,26,0,0,2,0,1,30,272566,21,2289,119
금강시장,부산광역시 동래구 아시아드대로208번길 48,129.0685675,35.2015922,50,6,41,2,4,0,0,0,8,10,2,0,0,0,0,3,1,1,1,1,50,271187,28,2517,108
금광시장,경기도 성남시 중원구 금광동 4622,127.1600252,37.4499798,22,19,117,1,2,0,1,1,0,1,1,1,5,774,35,0,0,0,0,0,35,215975,14,1503,144
금남시장,서울특별시 성동구 독서당로 303-7,127.0227114,37.548454,137,49,165,0,4,0,0,0,0,2,2,0,0,0,0,0,0,1,3,6,130,294272,8,3240,91
금만시장,전라북도 김제시 동서7길23,126.8864248,35.8001488,80,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,96,82623,4,230,359
금사제일상가시장,부산광역시 금정구 개좌로81,129.1125532,35.2204223,32,0,0,0,2,0,0,0,8,13,5,0,3,114,4,0,0,0,1,2,32,233303,16,1383,169
금산국제인삼시장(금산인삼국제시장),충청남도 금산군 금산읍 인삼약초로 45,127.4979704,36.1015635,203,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,203,51443,16,1762,29
금산수삼센타,충청남도 금산군 금산읍 인삼약초로 24,127.4960561,36.1004559,295,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,333,51443,16,1762,29
금산시장,충청남도 금산군 금산읍 금산천길 98,127.4911643,36.0995429,140,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,79,51443,16,1762,29
금산약초시장,충청남도 금산군 금산읍 비단로 144,127.4954678,36.1004083,31,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,31,51443,16,1762,29
금산인삼쇼핑센타,충청남도 금산군 금산읍 인삼광장로 47,127.4989483,36.1014774,53,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,52,51443,16,1762,29
금산인삼전통시장,충청남도 금산군 금산읍 건삼전1길 20-8,127.4922246,36.1004577,69,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,75,51443,16,1762,29
